"Index","Original Thai","Locations","Claude score","Claude verdict","Claude raw verdict","Claude issue","Claude suggestion","agy score","agy verdict","agy raw verdict","agy issue","agy suggestion","Average","Score difference","Status"
"TH-293","ก่อนทำงานร่วมกันควรตกลงโครงสร้างโฟลเดอร์ แท็ก และวิธีเก็บไฟล์แนบ","app/guide-data.ts:683:209","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-294","ใช้ฟรี","app/guide-data.ts:684:59","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-295","ผู้ที่ต้องการคลังไฟล์ PDF และระบบแทรกการอ้างอิงที่ใช้งานไม่ซับซ้อน","app/guide-data.ts:684:78; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-54","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-296","ควรทดลองส่งออกข้อมูลและการทำงานร่วมกันก่อนย้ายคลังขนาดใหญ่ทั้งหมดเข้าไป","app/guide-data.ts:684:158","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-297","มีค่าใช้จ่าย · สถาบันอาจมีสิทธิ์ให้ใช้","app/guide-data.ts:685:40; app/guide-data.ts:710:49","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-298","ห้องปฏิบัติการหรือมหาวิทยาลัยที่ใช้ EndNote เป็นมาตรฐานและมีรูปแบบอ้างอิงพร้อมอยู่แล้ว","app/guide-data.ts:685:91; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-54","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-299","ตรวจสิทธิ์ของมหาวิทยาลัยก่อนซื้อ เพราะหลายแห่งมีใบอนุญาตให้ใช้อยู่แล้ว","app/guide-data.ts:685:191","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-300","ซื้อครั้งเดียว · ใช้บน macOS","app/guide-data.ts:686:41","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-301","ผู้ที่ต้องการจัดระเบียบและค้นไฟล์ PDF ในเครื่อง โดยให้ระบบช่วยจัดหมวดหมู่และซิงก์ผ่าน iCloud","app/guide-data.ts:686:82","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-302","ปัจจุบันเน้นอุปกรณ์ Apple ควรทดลองนำเข้า ส่งออก อ้างอิง และทำงานร่วมกันก่อนย้ายคลังหลัก","app/guide-data.ts:686:188","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-303","ค้นบทความและช่วยอ่านงานวิจัย","app/guide-data.ts:690:35","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-304","ค้นงานที่อาจเกี่ยวข้อง ขยายผลจากบทความตั้งต้น ตรวจบริบทการอ้างอิง และถามข้อมูลจากเอกสาร โดยไม่ใช้บทสรุปจาก AI แทนหลักฐานต้นฉบับ","app/guide-data.ts:690:80","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-305","มีทั้งแผนฟรีและเสียเงิน","app/guide-data.ts:692:38; app/guide-data.ts:695:39; app/guide-data.ts:696:42; app/guide-data.ts:697:41; app/guide-data.ts:698:41; app/guide-data.ts:699:40; app/guide-data.ts:701:38; app/guide-data.ts:707:39; app/guide-data.ts:717:41; app/guide-data.ts:719:41; app/guide-data.ts:720:41; app/guide-data.ts:721:42; app/guide-data.ts:723:40; app/guide-data.ts:737:40","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-306","ช่วยค้นเว็บและงานวิชาการด้วย AI รวบรวมแหล่งข้อมูล และสำรวจคำถามวิจัยในช่วงเริ่มต้น","app/guide-data.ts:692:74","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-307","ต้องเปิดบทความที่อ้างถึงและตรวจทุกข้อกล่าวอ้าง เพราะคำตอบจาก AI ไม่ใช่การค้นฐานข้อมูลที่ทำซ้ำได้","app/guide-data.ts:692:170","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-308","มีแผนฟรี แผนเสียเงิน และสิทธิ์ระดับสถาบัน","app/guide-data.ts:693:41","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-309","ค้นงานที่เกี่ยวข้องจากคำถาม ข้อความ หรือต้นฉบับ และช่วยสำรวจหัวข้อที่เชื่อมกันข้ามสาขา","app/guide-data.ts:693:95","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-310","บันทึกคำถามหรือเอกสารที่ใช้สร้างคำแนะนำ และค้นเพิ่มในฐานข้อมูลหลักของสาขา","app/guide-data.ts:693:195","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-311","มีค่าใช้จ่าย · อาจมีช่วงทดลองหรือสิทธิ์ระดับสถาบัน","app/guide-data.ts:694:40; app/guide-data.ts:700:38","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-312","สำรวจงานที่เชื่อมโยงกับบทความตั้งต้น และจัดกลุ่มงานตามแนวคิดหรือหัวข้อ","app/guide-data.ts:694:103","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-313","ใช้แผนผังหัวข้อเพื่อหาเบาะแส ไม่ควรถือว่าครอบคลุมงานทั้งหมด และต้องเปิดอ่านบทความต้นฉบับ","app/guide-data.ts:694:187","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-314","ค้นบทความและสร้างตารางข้อมูลเบื้องต้น เพื่อช่วยสำรวจและเตรียมสกัดข้อมูล","app/guide-data.ts:695:75","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-315","ตรวจข้อมูลที่สกัดกับบทความฉบับเต็ม และอย่าถือว่าฐานข้อมูลหรือการจัดอันดับครอบคลุมทุกแหล่งที่โครงร่างกำหนด","app/guide-data.ts:695:160","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-316","ดูภาพรวมแบบมีลิงก์ไปยังแหล่งอ้างอิงว่า งานวิจัยตอบคำถามภาษาธรรมดาไว้อย่างไร","app/guide-data.ts:696:78","4","PASS","PASS","ภาพรวมแบบมีลิงก์ ฟังดูติดขัดเล็กน้อย","เปลี่ยนเป็น ภาพรวมที่มีลิงก์ไปยังแหล่งอ้างอิง ว่างานวิจัยตอบคำถามภาษาธรรมดาไว้อย่างไร","3","REVISE","REVISE","คำว่า ภาษาธรรมดา แปลตรงตัวจาก plain language","เปลี่ยน ภาษาธรรมดา เป็น ภาษาทั่วไป หรือ ภาษาธรรมชาติ","3.5","1","ควรทบทวน"
"TH-317","ใช้เพื่อทำความเข้าใจหัวข้อเบื้องต้น ไม่ควรใช้แทนการค้นอย่างครอบคลุม การประเมินคุณภาพ หรือการอ่านบทความ","app/guide-data.ts:696:167","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-318","ค้นงานวิจัยและถามคำถามเกี่ยวกับบทความแต่ละเรื่องระหว่างอ่าน","app/guide-data.ts:697:77","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-319","ตรวจคำตอบกับส่วนวิธีวิจัย ตารางผล และข้อจำกัดในบทความ และไม่ควรอ้างข้อความอธิบายที่ระบบสร้างขึ้น","app/guide-data.ts:697:150","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-320","ค้นแหล่งข้อมูลจากหัวข้อหรือข้อความ และกรองงานเบื้องต้นระหว่างสำรวจวรรณกรรม","app/guide-data.ts:698:77","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-321","ควรบันทึกกระบวนการค้นจริงแยกต่างหาก และตรวจความเกี่ยวข้อง สถานะการตีพิมพ์ และข้อมูลบรรณานุกรมจากต้นทาง","app/guide-data.ts:698:165","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-322","ติดตามงานที่อ้างถึงกันจากบทความตั้งต้น และดูพัฒนาการของกลุ่มงานวิจัยตามเวลา","app/guide-data.ts:699:76","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-323","แผนผังการอ้างอิงอาจไม่เห็นงานที่อยู่นอกเครือข่ายของบทความตั้งต้น จึงต้องค้นฐานข้อมูลและเอกสารนอกวารสารเพิ่มเติม","app/guide-data.ts:699:165","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-324","ตรวจว่าบทความภายหลังอ้างถึงงานเดิมในลักษณะสนับสนุน โต้แย้ง หรือกล่าวถึง","app/guide-data.ts:700:101","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-325","การจัดประเภทการอ้างอิงช่วยให้เห็นบริบท แต่ไม่ใช่คำตัดสินคุณภาพ ต้องอ่านข้อความที่อ้างถึงและบทความทั้งสองฝั่ง","app/guide-data.ts:700:186","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-326","ค้นข้ามเอกสารของผู้วิจัยเองและตอบคำถามพร้อมเชื่อมกลับไปยังข้อความในเอกสาร","app/guide-data.ts:701:74","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-327","ตรวจข้อความที่ระบบอ้างถึงทุกครั้ง และอ่านนโยบายความเป็นส่วนตัวก่อนอัปโหลดงานที่ยังไม่เผยแพร่ ข้อมูลลับ หรือเอกสารที่มีข้อจำกัด","app/guide-data.ts:701:161","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-328","คัดกรองและจัดการงานทบทวน","app/guide-data.ts:705:35; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-54","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-329","ลบรายการซ้ำ ใช้เกณฑ์คัดเลือก แก้ความเห็นต่าง และเก็บประวัติการตัดสินใจ","app/guide-data.ts:705:76","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-330","คัดกรองชื่อเรื่องและบทคัดย่อ โดยเฉพาะงานที่มีผู้ทบทวนหลายคนและต้องปกปิดผลการตัดสินใจระหว่างกัน","app/guide-data.ts:707:75; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-54","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-331","ความสามารถของแต่ละแผนต่างกัน ควรกำหนดบทบาททีมก่อนเชิญสมาชิก","app/guide-data.ts:707:183","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-332","ฟรี · โอเพนซอร์ส","app/guide-data.ts:708:41; app/guide-data.ts:730:44","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-333","ชุดเอกสารขนาดใหญ่ที่ต้องการใช้ระบบจัดลำดับแบบเรียนรู้เชิงรุก (active learning) ช่วยจัดลำดับงานที่น่าจะเกี่ยวข้อง โดยให้มนุษย์เป็นผู้ตัดสิน","app/guide-data.ts:708:70; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-54","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-334","ควรกำหนดเกณฑ์หยุดและรายงานรุ่นโมเดล การตั้งค่า และการตัดสินใจของผู้ทบทวนให้ชัด","app/guide-data.ts:708:222","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-335","ระบบสมาชิก · บางโครงการอาจมีสิทธิ์ให้ใช้","app/guide-data.ts:709:46","3","REVISE","REVISE","ระบบสมาชิก ฟังดูเหมือนบรรยายฟีเจอร์ ไม่ใช่ป้ายราคาแบบข้ออื่นในชุดเดียวกัน","เปลี่ยนเป็น แบบสมัครสมาชิก บางโครงการอาจมีสิทธิ์ให้ใช้","5","PASS","PASS","-","-","4.0","2","ควรทบทวน"
"TH-336","งานทบทวนหรือแผนที่หลักฐาน (evidence map) ที่ซับซ้อนและต้องทำงานร่วมกันตั้งแต่ลงรหัสจนถึงสังเคราะห์","app/guide-data.ts:709:99; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-54","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-337","งานวิทยานิพนธ์ขนาดเล็กอาจไม่ต้องใช้ระบบเต็มรูปแบบ ควรตรวจค่าใช้จ่ายและเวลาเรียนรู้ก่อน","app/guide-data.ts:709:211","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-338","จัดการงานทบทวนวรรณกรรมอย่างเป็นระบบ ตั้งแต่ค้น คัดกรอง สกัดข้อมูล ติดแท็ก จนถึงแสดงผลในพื้นที่เดียว","app/guide-data.ts:710:100","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-339","ควรตรวจการส่งออก ประวัติการตัดสินใจ ระบบอัตโนมัติ และข้อกำหนดของโครงร่างก่อนย้ายงานทั้งโครงการเข้าไป","app/guide-data.ts:710:213","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-340","จดบันทึก เขียน และทำงานร่วมกัน","app/guide-data.ts:714:33; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-55","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-341","เปลี่ยนบันทึกจากการอ่านให้เป็นข้อสังเคราะห์ร่วมกันและต้นฉบับที่ดูแลต่อได้","app/guide-data.ts:714:80","4","PASS","PASS","-","-","3","REVISE","REVISE","คำว่า ต้นฉบับที่ดูแลต่อได้ แปลตรงตัวจาก maintainable manuscript","ปรับเป็น ร่างต้นฉบับที่นำไปพัฒนาต่อได้ง่าย หรือ ร่างต้นฉบับที่พร้อมจัดการต่อ","3.5","1","ควรทบทวน"
"TH-342","ฟังก์ชันหลักใช้ฟรี · บริการเสริมมีค่าใช้จ่าย","app/guide-data.ts:716:50","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-343","เชื่อมโยงบันทึก พัฒนาแนวคิด และจัดพื้นที่สำหรับรวบรวมและสังเคราะห์ข้อมูลก่อนเริ่มเขียนต้นฉบับ","app/guide-data.ts:716:107; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-55","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-344","เลือก Notion เมื่อต้องทำงานร่วมกัน หรือ Obsidian เมื่อต้องการเก็บไฟล์ไว้ในเครื่อง ไม่ควรทำบันทึกชุดเดียวกันซ้ำสองระบบ","app/guide-data.ts:716:214","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-345","วิทยานิพนธ์และบทความที่ใช้ LaTeX รวมถึงงานที่ต้องเขียนร่วมกันบนแม่แบบวารสาร","app/guide-data.ts:717:77; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-55","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-346","ควรตรวจว่าอาจารย์ที่ปรึกษาและผู้เขียนร่วมสะดวกตรวจงานใน LaTeX หรือไม่","app/guide-data.ts:717:166","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-347","Docs ฟรี · Paperpile มีค่าใช้จ่าย","app/guide-data.ts:718:56","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-348","ทีมที่ตรวจแก้ต้นฉบับใน Google Docs อยู่แล้วและต้องการจัดการการอ้างอิงในพื้นที่เดียวกัน","app/guide-data.ts:718:102; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-55","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-349","กำหนดให้ชัดว่าคลังอ้างอิงใดเป็นฉบับหลัก เพื่อป้องกันรายการซ้ำหรือข้อมูลไม่ตรงกัน","app/guide-data.ts:718:202","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-350","ตรวจภาษา ปรับสำนวนเชิงวิชาการ และตรวจความสม่ำเสมอระหว่างแก้ต้นฉบับ","app/guide-data.ts:719:77","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-351","เลือกใช้คำแนะนำเป็นรายจุด รักษาความหมายเดิม และตรวจนโยบายของวารสารหรือมหาวิทยาลัยเรื่องการใช้ AI ช่วยเขียน","app/guide-data.ts:719:157","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-352","ช่วยร่าง ปรับแก้ และแนะนำเอกสารอ้างอิงสำหรับนักศึกษาและผู้เขียนงานวิชาการ","app/guide-data.ts:720:77","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-353","ตรวจเอกสารอ้างอิงที่แนะนำจากต้นฉบับทุกครั้ง และไม่ใช้ข้อความที่ระบบสร้างแทนการวิเคราะห์หรือความรับผิดชอบของผู้เขียน","app/guide-data.ts:720:164","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-354","ช่วยจัดโครงสร้างและปรับงานเขียนวิชาการ พร้อมข้อเสนอแนะด้านความชัดเจน ความต่อเนื่อง และลีลาการเขียน","app/guide-data.ts:721:78","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-355","ตรวจทุกจุดแก้ไขว่ายังตรงความหมายในสาขา และอ่านนโยบายความเป็นส่วนตัวก่อนอัปโหลดต้นฉบับ","app/guide-data.ts:721:190","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-356","Livewrite (เดิมชื่อ ReSub)","app/guide-data.ts:722:21","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-357","มีค่าใช้จ่าย","app/guide-data.ts:722:59","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-358","ปรับรูปแบบต้นฉบับให้ตรงข้อกำหนดของวารสารเป้าหมาย โดยเฉพาะงานสายการแพทย์","app/guide-data.ts:722:84","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-359","ตรวจไฟล์ที่ได้กับคำแนะนำสำหรับผู้เขียนฉบับล่าสุดของวารสารก่อนส่งทุกครั้ง","app/guide-data.ts:722:169","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-360","พื้นที่เขียนงานวิชาการที่รวมการร่าง ปรับแก้ จัดการการอ้างอิง และจัดรูปแบบไว้ด้วยกัน","app/guide-data.ts:723:76","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-361","ตรวจการคัดลอกซ้ำและแหล่งข้อมูลแยกต่างหาก รวมถึงตรวจเอกสารอ้างอิงและข้อเท็จจริงทุกจุดที่ระบบสร้าง","app/guide-data.ts:723:173","3","REVISE","REVISE","""แหล่งข้อมูลแยกต่างหาก"" วางตำแหน่งกำกวม อ่านคล้ายแปลตรงตัว","ตรวจสอบการคัดลอกซ้ำและตรวจแหล่งที่มาแยกกัน รวมถึงตรวจเอกสารอ้างอิงและข้อเท็จจริงทุกจุดที่ระบบสร้างขึ้น","3","REVISE","REVISE","สำนวน และแหล่งข้อมูลแยกต่างหาก แปลตรงตัวและกำกวม","ตรวจสอบความซ้ำซ้อนและแยกตรวจแหล่งข้อมูล รวมถึงตรวจเอกสารอ้างอิงและข้อเท็จจริงทุกจุดที่ระบบสร้าง","3.0","0","เห็นพ้องว่าควรแก้"
"TH-362","วิเคราะห์และสังเคราะห์","app/guide-data.ts:727:34; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-55","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-363","ลงรหัสข้อค้นพบเชิงคุณภาพ รวมผลเชิงสถิติ หรือจัดการกระบวนการทบทวนทั้งงาน","app/guide-data.ts:727:73","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-364","มีค่าใช้จ่าย · มีทางเลือกสำหรับนักศึกษาและสถาบัน","app/guide-data.ts:729:49","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-365","ลงรหัสข้อค้นพบเชิงคุณภาพ จัดบันทึก วิเคราะห์ความสัมพันธ์ และทำงานเป็นทีมอย่างเป็นระบบ","app/guide-data.ts:729:110; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-55","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-366","โปรแกรมไม่ได้เลือกหลักการวิเคราะห์แทนผู้วิจัย ควรกำหนดแนวทางลงรหัสก่อนนำข้อมูลทั้งหมดเข้าไป","app/guide-data.ts:729:209","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-367","ทำการวิเคราะห์อภิมาน (meta-analysis) ที่ทำซ้ำได้ ตรวจความไวของผล และสร้างผลลัพธ์ทางสถิติสำหรับรายงาน","app/guide-data.ts:730:73; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-55","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-368","ควรมีผู้เชี่ยวชาญด้านสถิติช่วยตรวจ เมื่อค่าผลลัพธ์ ความสัมพันธ์ระหว่างข้อมูล หรือความแตกต่างระหว่างการศึกษามีความซับซ้อน","app/guide-data.ts:730:187","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-369","มีค่าใช้จ่าย · มหาวิทยาลัยหลายแห่งมีสิทธิ์ให้ใช้","app/guide-data.ts:731:42","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-370","ทีมที่ต้องการคัดกรอง สกัดข้อมูล ประเมินความเสี่ยงอคติ และส่งออกผลในระบบเดียว","app/guide-data.ts:731:103; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-55","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-371","ตรวจสิทธิ์ของมหาวิทยาลัยและทดสอบว่าขั้นตอนในระบบตรงกับวิธีทบทวนก่อนตั้งค่าโครงการ","app/guide-data.ts:731:193","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-372","สร้างภาพประกอบวิชาการ","app/guide-data.ts:735:39","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-373","สร้างแผนภาพหรือภาพประกอบเพื่ออธิบายวิธีวิจัยและข้อค้นพบ โดยยังตรวจย้อนกลับไปยังข้อมูลต้นทางได้","app/guide-data.ts:735:77","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-374","เปลี่ยนคำสั่ง ภาพร่าง หรือข้อมูลให้เป็นภาพประกอบและแผนภาพทางวิทยาศาสตร์","app/guide-data.ts:737:76","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-375","ตรวจความถูกต้องทางวิทยาศาสตร์ ป้ายกำกับ สัดส่วน สิทธิ์การใช้งาน และนโยบายรูปภาพของวารสาร พร้อมเก็บข้อมูลและไฟล์ต้นฉบับที่แก้ไขได้","app/guide-data.ts:737:161","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-376","แบบบันทึกการค้น","app/guide-data.ts:742:35; app/research-tools.ts:325:540; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-60","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-377","ช่วยให้ผู้อื่นตรวจสอบและนำคำค้นไปค้นตามในแต่ละฐานข้อมูลได้","app/guide-data.ts:742:63; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-60","3","REVISE","REVISE","""นำคำค้นไปค้นตาม"" ฟังไม่เป็นธรรมชาติ","ช่วยให้ผู้อื่นตรวจสอบและค้นซ้ำด้วยคำค้นเดียวกันในแต่ละฐานข้อมูลได้","5","PASS","PASS","-","-","4.0","2","ควรทบทวน"
"TH-378","ฐานข้อมูล: [ชื่อ]
แพลตฟอร์ม: [ผู้ให้บริการ]
วันที่ค้น: [YYYY-MM-DD]
ช่วงข้อมูล: [เริ่ม–สิ้นสุด]
คำค้นเต็ม: [วางคำค้น]
ตัวกรอง: [ระบุหรือไม่มี]
จำนวนผลลัพธ์: [n]
ชื่อไฟล์ส่งออก: [ชื่อ]
หมายเหตุและการปรับ: [เหตุผล]","app/guide-data.ts:742:134","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-379","แบบบันทึกผลการคัดเลือก","app/guide-data.ts:743:36; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-60","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-380","ช่วยให้ตัดสินใจคัดกรองอย่างสม่ำเสมอและอธิบายเหตุผลได้","app/guide-data.ts:743:71; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-60","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-381","รหัสงาน: [ผู้แต่ง-ปี]
ผู้ทบทวน: [ชื่อ]
ระยะ: [ชื่อ/บทคัดย่อ | ฉบับเต็ม]
ผลการพิจารณา: [คัดเข้า | คัดออก | รอหารือ]
เกณฑ์ที่ใช้: [เกณฑ์]
เหตุผลที่คัดออก: [เหตุผลเฉพาะหนึ่งข้อ]
หมายเหตุ: [บริบทหรือความไม่แน่นอน]","app/guide-data.ts:743:137","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-382","ตารางสกัดข้อมูล","app/guide-data.ts:744:31; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-60","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-383","เชื่อมบริบท ประเภทงานวิจัย ข้อค้นพบ และผลประเมินคุณภาพ","app/guide-data.ts:744:59; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-60","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-384","การอ้างอิง | ประเทศ/บริบท | เป้าหมาย | ประเภทงานวิจัย | กลุ่มตัวอย่าง/ข้อมูล | การแทรกแซงหรือปรากฏการณ์ | ผลลัพธ์/ข้อค้นพบ | บริบท | ข้อจำกัด | ผลประเมิน | หมายเหตุผู้ทบทวน","app/guide-data.ts:744:126","5","PASS","PASS","-","-","3","REVISE","REVISE","มีหัวข้อ บริบท ซ้ำซ้อนกับ ประเทศ/บริบท","ปรับ ประเทศ/บริบท เป็น ประเทศ/สถานที่ศึกษา เพื่อไม่ให้ซ้ำกับหัวข้อ บริบท","4.0","2","ควรทบทวน"
